model,day_type,hour,rel_err
sarima,holiday,23,0.4385592042527921
sarima,weekday,0,0.30734060621157955
sarima,weekday,1,0.22384903571904322
sarima,weekday,2,0.17475720851273313
sarima,weekday,3,0.1503281155447215
sarima,weekday,4,0.12714524006064548
sarima,weekday,5,0.11011876654049202
sarima,weekday,6,0.11754805151502977
sarima,weekday,7,0.1805787535251566
sarima,weekday,8,0.3077470796532467
sarima,weekday,9,0.3545155752154857
sarima,weekday,10,0.4075367662719136
sarima,weekday,11,0.46147868714240525
sarima,weekday,12,0.5347183265176172
sarima,weekday,13,0.5482428571555024
sarima,weekday,14,0.5115398983192397
sarima,weekday,15,0.5035638577568533
sarima,weekday,16,0.5069557453396247
sarima,weekday,17,0.49385797774182943
sarima,weekday,18,0.49831434022065474
sarima,weekday,19,0.5307586736929544
sarima,weekday,20,0.46206089580014204
sarima,weekday,21,0.43857125590261936
sarima,weekday,22,0.44092985376510313
sarima,weekday,23,0.4004526465780908
sarima,weekend,0,0.23593288684244293
sarima,weekend,1,0.16500436305182384
sarima,weekend,2,0.14446857904851332
sarima,weekend,3,0.13197305815732113
sarima,weekend,4,0.12282855213425067
sarima,weekend,5,0.11370244826965362
sarima,weekend,6,0.1422717610836811
sarima,weekend,7,0.2996905484641643
sarima,weekend,8,0.4915162386110881
sarima,weekend,9,0.5524276042581745
sarima,weekend,10,0.5813938633763682
sarima,weekend,11,0.5495719808864145
sarima,weekend,12,0.5468813293042551
sarima,weekend,13,0.5243096291695021
sarima,weekend,14,0.44536953194960927
sarima,weekend,15,0.4371850459375808
sarima,weekend,16,0.45881469706796535
sarima,weekend,17,0.42012189942425654
sarima,weekend,18,0.367039339306368
sarima,weekend,19,0.3895242225498575
sarima,weekend,20,0.35719974916525293
sarima,weekend,21,0.3647049753648723
sarima,weekend,22,0.3420384446336186
sarima,weekend,23,0.3800108398783774
seasonal_naive,holiday,0,0.3845930792662559
seasonal_naive,holiday,1,0.2056814624117283
seasonal_naive,holiday,2,0.15983823476052308
seasonal_naive,holiday,3,0.12235835363628132
seasonal_naive,holiday,4,0.10281559912456427
seasonal_naive,holiday,5,0.07958216327507363
seasonal_naive,holiday,6,0.06429737705747302
seasonal_naive,holiday,7,0.12471461566244972
seasonal_naive,holiday,8,0.21815183766021753
seasonal_naive,holiday,9,0.3085391801633192
seasonal_naive,holiday,10,0.3898982634090181
seasonal_naive,holiday,11,0.4900605039041866
seasonal_naive,holiday,12,0.5401665219082655
seasonal_naive,holiday,13,0.5502073418443622
seasonal_naive,holiday,14,0.5622300588634235
seasonal_naive,holiday,15,0.5016992273197249
seasonal_naive,holiday,16,0.5220165871399839
seasonal_naive,holiday,17,0.45724246366719795
seasonal_naive,holiday,18,0.3538236234184003
seasonal_naive,holiday,19,0.1940587398373631
seasonal_naive,holiday,20,0.14236261140852596
seasonal_naive,holiday,21,0.11951217594905338
seasonal_naive,holiday,22,0.17100387166676764
seasonal_naive,holiday,23,0.1762015335991935
seasonal_naive,weekday,0,0.14093768330272857
seasonal_naive,weekday,1,0.11911479336484976
seasonal_naive,weekday,2,0.0984256969204741
seasonal_naive,weekday,3,0.07176635732836292
seasonal_naive,weekday,4,0.0491250544105113
seasonal_naive,weekday,5,0.050996809964992534
seasonal_naive,weekday,6,0.060096065959387615
seasonal_naive,weekday,7,0.11039225968379963
seasonal_naive,weekday,8,0.2311673993823583
seasonal_naive,weekday,9,0.30203549492692283
seasonal_naive,weekday,10,0.33658422987001135
seasonal_naive,weekday,11,0.38696255934483736
seasonal_naive,weekday,12,0.4775139617897162
seasonal_naive,weekday,13,0.49832839025606507
seasonal_naive,weekday,14,0.44930261414580197
seasonal_naive,weekday,15,0.5025795740151916
seasonal_naive,weekday,16,0.5505951258004725
seasonal_naive,weekday,17,0.5254195136910508
seasonal_naive,weekday,18,0.40896871913894456
seasonal_naive,weekday,19,0.24517644055694077
seasonal_naive,weekday,20,0.18613774308008801
seasonal_naive,weekday,21,0.16631311137916702
seasonal_naive,weekday,22,0.17472229313048196
seasonal_naive,weekday,23,0.19014403368533112
seasonal_naive,weekend,0,0.08319036112343357
seasonal_naive,weekend,1,0.09249153457559116
seasonal_naive,weekend,2,0.09225340305591528
seasonal_naive,weekend,3,0.059422144218156045
seasonal_naive,weekend,4,0.05544482125851378
seasonal_naive,weekend,5,0.07517951281330368
seasonal_naive,weekend,6,0.06712932860952169
seasonal_naive,weekend,7,0.10388691137994056
seasonal_naive,weekend,8,0.15005042781993225
seasonal_naive,weekend,9,0.22113427964468815
seasonal_naive,weekend,10,0.2611100131668141
seasonal_naive,weekend,11,0.274521970145157
seasonal_naive,weekend,12,0.2880005383719218
seasonal_naive,weekend,13,0.2684464722458558
seasonal_naive,weekend,14,0.2360659653487362
seasonal_naive,weekend,15,0.19362184656050369
seasonal_naive,weekend,16,0.25495298278107587
seasonal_naive,weekend,17,0.24580917858252488
seasonal_naive,weekend,18,0.1724841666692365
seasonal_naive,weekend,19,0.15682519923746638
seasonal_naive,weekend,20,0.19324214437483542
seasonal_naive,weekend,21,0.1919479649180098
seasonal_naive,weekend,22,0.19877812348192708
seasonal_naive,weekend,23,0.2100228582396153
weekly_naive,holiday,0,0.7316023244680442
weekly_naive,holiday,1,0.5135697146569601
weekly_naive,holiday,2,0.4161089663325903
weekly_naive,holiday,3,0.3577726651804822
weekly_naive,holiday,4,0.31420116783170854
weekly_naive,holiday,5,0.30556226112608226
weekly_naive,holiday,6,0.38966990683511327
weekly_naive,holiday,7,0.6883774384951522
weekly_naive,holiday,8,1.1648496628233989
weekly_naive,holiday,9,1.529171304618186
weekly_naive,holiday,10,1.639508389337154
weekly_naive,holiday,11,1.7126314631250075
weekly_naive,holiday,12,1.773320071233695
weekly_naive,holiday,13,2.017806310250397
weekly_naive,holiday,14,1.8152592263836589
weekly_naive,holiday,15,1.6836561987208198
weekly_naive,holiday,16,1.6347110823169317
weekly_naive,holiday,17,1.5411598507129658
weekly_naive,holiday,18,1.430924944362215
weekly_naive,holiday,19,1.3138743695475184
weekly_naive,holiday,20,1.1914796213878613
weekly_naive,holiday,21,1.1043456275009553
weekly_naive,holiday,22,1.0471492157559597
weekly_naive,holiday,23,0.9313746948746987
weekly_naive,weekday,0,0.41633553423756786
weekly_naive,weekday,1,0.31126798301608316
weekly_naive,weekday,2,0.2652469888560002
weekly_naive,weekday,3,0.23412842180458332
weekly_naive,weekday,4,0.22133388716280333
weekly_naive,weekday,5,0.21297663153754742
weekly_naive,weekday,6,0.23500392216624327
weekly_naive,weekday,7,0.37916106685111006
weekly_naive,weekday,8,0.6571811164577134
weekly_naive,weekday,9,0.8385220517627774
weekly_naive,weekday,10,0.863457790082358
weekly_naive,weekday,11,0.8802057048088847
weekly_naive,weekday,12,0.9220389984778932
weekly_naive,weekday,13,0.9943191378749751
weekly_naive,weekday,14,0.9330215483152139
weekly_naive,weekday,15,0.9420053496410434
weekly_naive,weekday,16,0.968289167968448
weekly_naive,weekday,17,0.8589617174743678
weekly_naive,weekday,18,0.749965594342204
weekly_naive,weekday,19,0.7466751526109681
weekly_naive,weekday,20,0.7437600642742354
weekly_naive,weekday,21,0.6709717652883902
weekly_naive,weekday,22,0.6381695264989109
weekly_naive,weekday,23,0.5931612184436024
weekly_naive,weekend,0,0.5332435434056498
weekly_naive,weekend,1,0.43086072130356046
weekly_naive,weekend,2,0.37463317122496675
weekly_naive,weekend,3,0.3550959806959475
weekly_naive,weekend,4,0.31989309934624427
weekly_naive,weekend,5,0.2576079798310849
weekly_naive,weekend,6,0.25876922915690936
weekly_naive,weekend,7,0.2828096433581769
weekly_naive,weekend,8,0.3139901888100762
weekly_naive,weekend,9,0.40072112398909454
weekly_naive,weekend,10,0.535163100557647
weekly_naive,weekend,11,0.6292430975080626
weekly_naive,weekend,12,0.7054866242865431
weekly_naive,weekend,13,0.7518093469416056
weekly_naive,weekend,14,0.7257578573955072
weekly_naive,weekend,15,0.6870181405344533
weekly_naive,weekend,16,0.6954172162230113
weekly_naive,weekend,17,0.6164190638034918
weekly_naive,weekend,18,0.6177748151027646
weekly_naive,weekend,19,0.5822771663810669
weekly_naive,weekend,20,0.5479707445613097
weekly_naive,weekend,21,0.5344253704891457
weekly_naive,weekend,22,0.4744530307127183
weekly_naive,weekend,23,0.45120113005870766
